current,query,reaction,next
q2_howhurt_2,2,なるほど、わかりました。,q2_howhurt_3
q2_howhurt_2,1,なるほど、わかりました。,q2_howhurt_3
q2_howhurt_2,0,なるほど、わかりました。,q2_howhurt_3
q2_howhurt_3,ある,わかりました。,q2_trigger_1
q2_howhurt_3,あります,わかりました。,q2_trigger_1
q2_howhurt_3,ない,わかりました。,q2_beforeafter
q2_howhurt_3,ないです,わかりました。,q2_beforeafter
q2_trigger_1,空腹時に痛くなります,なるほど、わかりました。,q2_trigger_2
q2_trigger_1,横になると痛くなります,なるほど、わかりました。,q2_trigger_2
q2_trigger_1,ご飯を食べると痛いです,なるほど、わかりました。,q2_trigger_2
q2_trigger_1,寝る前が痛いです。,なるほど、わかりました。,q2_trigger_2
q2_trigger_2,ご飯を食べるとよくなります,なるほど、わかりました。,q2_howlong
q2_trigger_2,横になると楽になります,なるほど、わかりました。,q2_howlong
q2_trigger_2,何もしていないときは大丈夫です,なるほど、わかりました。,q2_howlong
q2_howlong,すぐに落ち着きます,なるほど、瞬発的な痛みなんですね。,q2_beforeafter
q2_howlong,分くらい続きます,それは辛いですね。,q2_beforeafter
q2_howlong,今までずっと痛いです。,そうですか、痛みが続いているのですね,q3_defecation_1
q2_beforeafter,和らいでいます。,そうですか、わかりました。,q3_defecation_1
q2_beforeafter,よくなりました。,そうですか、わかりました。,q3_defecation_1
q2_beforeafter,痛いです,そうですか、それはつらいですね。,q3_defecation_1
q2_beforeafter,変化ありません。,そうですか、それはつらいですね。,q3_defecation_1
q2_beforeafter,ひどくなりました。,そうですか、それはつらいですね。,q3_defecation_1
q3_defecation_1,普通です。,わかりました。,q3_defecation_2
q3_defecation_1,いい調子です。,わかりました。,q3_defecation_2
q3_defecation_1,ありません,なるほど、わかりました。,q3_defecation_2
q3_defecation_1,少ないです,なるほど、わかりました。,q3_defecation_2
q3_defecation_2,普段よりやわらかい便です。,そうですか。,q3_vomiting_1
q3_defecation_2,普段通りです。,そうですか。,q3_vomiting_1
q3_defecation_2,下痢気味です。,そうですか。,q3_defecation_3
q3_defecation_3,昨晩から5回ほどです。,それはお辛いですね。,q3_vomiting_1
q3_vomiting_1,ありません。,そうですか。,q3_food_1
q3_vomiting_1,嘔吐はないが、むかつきがあります。,そうですか。,q3_food_1
q3_vomiting_1,嘔吐しました。,そうですか。,q3_vomiting_2
q3_vomiting_2,回ほどです,そうですか。,q3_food_1
q3_food_1,あまりありません。,そうですか。,q3_food_2
q3_food_1,普通です,そうですか。,q3_food_3
q3_food_2,食べていません,それはお辛いですね。,q3_food_4
q3_food_3,カップ麺を食べました。,そうですか。,q3_food_4
q3_food_4,生のカキを食べました。,そうですか。,q3_food_5
q3_food_4,特にありません。,そうですか。,q3_food_5
q3_food_5,取れています,そうですか。,q3_sleep
q3_food_5,取れていません,そうですか。,q3_sleep
q3_sleep,眠れています。,そうですか。,q4_other
q3_sleep,あまり眠れません。,そうですか。それは辛いですね。,q4_other
q4_other,特にありません,そうですか。,q4_affect
q4_other,鼻水が出ます,そうですか。それは辛いですね。,q2_fromwhen
q4_affect,仕事にいけないので困ります。,そうですか。それは辛いですね。,q5_check_treatment_1
q4_affect,特に問題ありません。,そうですか、わかりました。,q5_check_treatment_1
q5_check_treatment_1,ありません。,わかりました。,q5_check_treatment_2
q5_check_treatment_1,癌になったことがあります,わかりました。,q5_check_treatment_2
q5_check_treatment_2,ないです。,わかりました。,q5_check_treatment_3
q5_check_treatment_2,虫歯を治療中です。,わかりました。,q5_check_treatment_3
q5_check_treatment_2,ないです。,わかりました。,q5_check_treatment_3
q5_check_treatment_3,市の病院です,わかりました。,q5_check_treatment_4
q5_check_treatment_3,もらっていません。,わかりました。,q5_check_treatment_4
q5_check_treatment_4,ビタミン剤を飲んでいます。,わかりました。,q5_check_allergy
q5_check_treatment_4,飲んでいません。,わかりました。,q5_check_allergy
q5_check_allergy,ありません。,わかりました。,q5_drink_smoke_1
q5_check_allergy,小麦粉アレルギーです。,わかりました。,q5_drink_smoke_1
q5_drink_smoke_1,お酒もたばこもしてないです。,そうですか。,q5_drink_smoke_3
q5_drink_smoke_1,お酒を飲みます。,そうですか。,q5_drink_smoke_3
q5_drink_smoke_1,たばこを吸います。,そうですか。,q5_drink_smoke_2
q5_drink_smoke_2,20本です,そうですか。,q5_food
q5_drink_smoke_3,ありません。,そうですか。,q5_drink_smoke_4
q5_drink_smoke_4,23歳頃辞めました。,そうですか。,q5_food
q5_food,カップ麵ばかりです。,そうですか。,q5_exercise
q5_exercise,あまりしません。,そうですか。,q5_job
q5_job,事務職をしています。,そうですか。,q6_10_1
q7_family,祖母ががんでした。,そうですか。,q6_10_1
q7_family,特にないです。,そうですか。,q6_10_1
q7_pet,飼っていません。,そうですか。,q6_10_1
q7_pet,猫を買っています,そうですか。,q6_10_1
q7_travel,先月、インドネシアに行きました。,そうですか。,q6_10_1
q7_travel,出かけていません。,そうですか。,q6_10_1
closing_1,ありません。,そうですか。,q6_10_1
closing_1,肩がこるのは関係ありますかね？,そうですか。,q6_10_1
closing_2,仕事に支障が出ない治療にしてほしいです。,そうですか。,q6_10_1
closing_2,特にありません。,そうですか。,q6_10_1
closing_2,ありがとうございました。,そうですか。,end
padding,,,
q11_1,あります,そうですか。,q11_2_1
q11_1,ないです,そうですか。,q11_2_1
q11_2_1,右下のみです。,そうですか。,q11_2_2
q11_2_1,全体が痛みます。,そうですか。,q11_2_2
q11_2_2,ありません,そうですか。,q11_2_3
q11_2_2,便秘気味です。,そうですか。,q11_2_3
q11_2_3,ありません。,そうですか。,q12_1
q11_2_3,あります。,そうですか。,q12_1
q12_1,,そうですか。,q12_2
q12_2,特にないです。,そうですか。,q12_3_1
q12_2,あります。,そうですか。,q12_3_1
q12_3_1,変わりないです。,そうですか。,q12_3_2
q12_3_2,ないです。,そうですか。,q12_4
q12_4,最初と同じです。,そうですか。,
q12_5,ないです。,そうですか。,none
q12_5,あります。,そうですか。,none
q13_1_1,ないです。,そうですか。,none
q13_1_1,あります。,そうですか。,none
q13_1_2,ないです。,そうですか。,none
q13_1_2,あります。,そうですか。,none
q13_1_3,ないです。,そうですか。,none
q13_1_3,あります。,そうですか。,none
q13_1_4,ないです。,そうですか。,none
q13_1_4,あります。,そうですか。,none
q13_2,ないです。,そうですか。,none
q13_2,あります。,そうですか。,none
q13_3,ないです。,そうですか。,none
q13_3,あります。,そうですか。,none
q13_4,ないです。,そうですか。,none
q13_5_1,ないです。,そうですか。,none
q13_5_2,ないです。,そうですか。,none
q14_1,ないです。,そうですか。,none
q14_2,ないです。,そうですか。,none
q0_1,わかりました。,そうですか。,none
q0_2,わかりました。,そうですか。,none
q0_3,わかりました。.,そうですか。,none
q0_4,わかりました。,そうですか。,none
q0_5,わかりました。,そうですか。,none
q0_6,わかりました。,そうですか。,none
q0_7,わかりました。,そうですか。,none
q0_8,わかりました。,そうですか。,none
q0_9,わかりました。,そうですか。,none
q0_10,よかったです。,そうですか。,none
